ID,IS_HCP
115501,1
115505,1
115506,1
115508,1
115509,1
115511,1
115512,1
115514,1
115517,1
115518,1
115520,1
115521,1
115526,1
115527,1
115528,1
115532,1
115534,1
115535,1
115536,1
115539,1
115541,1
115542,1
115544,1
115547,1
115549,1
115550,1
115553,1
115555,1
115558,1
115560,1
115561,1
115566,1
115569,1
115570,1
115571,1
115572,1
115574,1
115576,1
115577,1
115578,1
115579,1
115582,1
115584,1
115586,1
115587,1
115589,1
115591,1
115593,1
115594,1
115596,1
115598,1
115600,1
115601,1
115603,1
115605,1
115606,1
115609,1
115611,1
115613,1
115614,1
115615,1
115618,1
115621,1
115622,1
115623,1
115624,1
115628,1
115630,1
115632,1
115633,1
115636,1
115644,1
115647,1
115648,1
115649,1
115651,1
115652,1
115653,1
115655,1
115656,1
115661,1
115663,1
115664,1
115665,1
115666,1
115668,1
115671,1
115672,1
115673,1
115674,1
115675,1
115677,1
115680,1
115682,1
115683,1
115684,1
115685,1
115686,1
115687,1
115690,1
115691,1
115693,1
115694,1
115695,1
115697,1
115699,1
115701,1
115703,1
115704,1
115705,1
115706,1
115707,1
115708,1
115711,1
115712,1
115714,1
115716,1
115717,1
115718,1
115720,1
115725,1
115727,1
115729,1
115733,1
115734,1
115737,1
115738,1
115740,1
115741,1
115742,1
115743,1
115748,1
115750,1
115751,1
115752,1
115753,1
115754,1
115756,1
115757,1
115760,1
115763,1
115764,1
115765,1
115766,1
115767,1
115768,1
115769,1
115770,1
115771,1
115772,1
115775,1
115779,1
115780,1
115782,1
115784,1
115789,1
115790,1
115793,1
115794,1
115796,1
115798,1
115799,1
115800,1
115802,1
115803,1
115804,1
115806,1
115808,1
115809,1
115811,1
115814,1
115816,1
115817,1
115818,1
115821,1
115822,1
115824,1
115827,1
115828,1
115829,1
115830,1
115831,1
115832,1
115833,1
115834,1
115835,1
115836,1
115838,1
115839,1
115840,1
115843,1
115844,1
115845,1
115846,1
115847,1
115849,1
115850,1
115852,1
115854,1
115859,1
115860,1
115861,1
115862,1
115863,1
115865,1
115869,1
115870,1
115873,1
115875,1
115876,1
115877,1
115878,1
115879,1
115881,1
115882,1
115883,1
115884,1
115886,1
115888,1
115891,1
115895,1
115897,1
115901,1
115903,1
115905,1
115906,1
115907,1
115908,1
115909,1
115910,1
115911,1
115913,1
115914,1
115917,1
115918,1
115919,1
115920,1
115922,1
115923,1
115924,1
115928,1
115929,1
115930,1
115931,1
115933,1
115934,1
115937,1
115938,1
115939,1
115940,1
115941,1
115942,1
115943,1
115947,1
115949,1
115951,1
115952,1
115953,1
115954,1
115958,1
115960,1
115964,1
115965,1
115967,1
115970,1
115971,1
115973,1
115976,1
115977,1
115982,1
115985,1
115986,1
115988,1
115989,1
115990,1
115992,1
115993,1
115994,1
115995,1
115996,1
115997,1
116005,1
116008,1
116009,1
116011,1
116013,1
116015,1
116018,1
116019,1
116020,1
116024,1
116025,1
116026,1
116029,1
116030,1
116031,1
116034,1
116035,1
116037,1
116038,1
116039,1
116040,1
116043,1
116045,1
116046,1
116047,1
116048,1
116049,1
116050,1
116051,1
116052,1
116053,1
116055,1
116056,1
116058,1
116060,1
116062,1
116063,1
116064,1
116065,1
116068,1
116069,1
116071,1
116072,1
116074,1
116075,1
116076,1
116077,1
116078,1
116081,1
116086,1
116087,1
116089,1
116091,1
116092,1
116093,1
116094,1
116096,1
116097,1
116098,1
116099,1
116102,1
116106,1
116110,1
116111,1
116112,1
116113,1
116114,1
116118,1
116122,1
116125,1
116126,1
116127,1
116128,1
116129,1
116130,1
116132,1
116133,1
116135,1
116137,1
116141,1
116142,1
116145,1
116147,1
116152,1
116153,1
116154,1
116155,1
116156,1
116157,1
116158,1
116159,1
116160,1
116162,1
116164,1
116165,1
116166,1
116167,1
116169,1
116170,1
116171,1
116172,1
116174,1
116177,1
116180,1
116181,1
116183,1
116185,1
116187,1
116188,1
116189,1
116191,1
116193,1
116195,1
116199,1
116202,1
116203,1
116204,1
116206,1
116207,1
116210,1
116213,1
116220,1
116221,1
116222,1
116224,1
116225,1
116226,1
116227,1
116228,1
116229,1
116230,1
116233,1
116234,1
116235,1
116237,1
116238,1
116239,1
116240,1
116241,1
116244,1
116246,1
116249,1
116250,1
116254,1
116258,1
116260,1
116261,1
116262,1
116266,1
116267,1
116268,1
116270,1
116272,1
116273,1
116274,1
116275,1
116277,1
116280,1
116281,1
116286,1
116287,1
116292,1
116296,1
116298,1
116301,1
116302,1
116304,1
116305,1
116307,1
116309,1
116311,1
116313,1
116317,1
116318,1
116319,1
116320,1
116322,1
116323,1
116325,1
116326,1
116327,1
116330,1
116331,1
116332,1
116335,1
116337,1
116340,1
116341,1
116342,1
116343,1
116344,1
116348,1
116349,1
116350,1
116352,1
116353,1
116357,1
116358,1
116361,1
116363,1
116364,1
116365,1
116366,1
116367,1
116368,1
116369,1
116370,1
116371,1
116372,1
116373,1
116378,1
116380,1
116383,1
116384,1
116385,1
116388,1
116389,1
116392,1
116393,1
116395,1
116396,1
116397,1
116398,1
116399,1
116401,1
116403,1
116405,1
116406,1
116407,1
116410,1
116411,1
116412,1
116413,1
116414,1
116415,1
116416,1
116418,1
116421,1
116424,1
116425,1
116427,1
116428,1
116429,1
116430,1
116431,1
116432,1
116434,1
116437,1
116439,1
116440,1
116441,1
116443,1
116445,1
116448,1
116450,1
116453,1
116455,1
116456,1
116461,1
116465,1
116467,1
116470,1
116473,1
116475,1
116476,1
116477,1
116479,1
116480,1
116481,1
116482,1
116484,1
116489,1
116491,1
116492,1
116493,1
116497,1
116499,1
116502,1
116504,1
116509,1
116511,1
116513,1
116514,1
116516,1
116518,1
116519,1
116521,1
116522,1
116525,1
116526,1
116527,1
116529,1
116530,1
116532,1
116534,1
116535,1
116536,1
116537,1
116542,1
116543,1
116544,1
116545,1
116546,1
116548,1
116549,1
116558,1
116561,1
116562,1
116563,1
116564,1
116566,1
116570,1
116572,1
116573,1
116574,1
116577,1
116579,1
116582,1
116586,1
116589,1
116590,1
116593,1
116594,1
116595,1
116597,1
116599,1
116600,1
116601,1
116603,1
116604,1
116605,1
116610,1
116612,1
116613,1
116615,1
116617,1
116618,1
116619,1
116620,1
116621,1
116622,1
116625,1
116630,1
116632,1
116638,1
116639,1
116640,1
116642,1
116643,1
116646,1
116648,1
116649,1
116650,1
116653,1
116656,1
116657,1
116659,1
116660,1
116661,1
116662,1
116663,1
116664,1
116665,1
116666,1
116667,1
116668,1
116671,1
116673,1
116676,1
116679,1
116680,1
116681,1
116682,1
116683,1
116684,1
116685,1
116688,1
116690,1
116691,1
116692,1
116694,1
116695,1
116700,1
116702,1
116705,1
116707,1
116708,1
116712,1
116713,1
116714,1
116715,1
116718,1
116719,1
116720,1
116721,1
116727,1
116729,1
116730,1
116731,1
116733,1
116734,1
116735,1
116738,1
116739,1
116741,1
116743,1
116747,1
116748,1
116749,1
116750,1
116751,1
116753,1
116754,1
116756,1
116761,1
116762,1
116763,1
116764,1
116766,1
116767,1
116768,1
116770,1
116771,1
116772,1
116773,1
116774,1
116776,1
116777,1
116779,1
116780,1
116781,1
116782,1
116785,1
116788,1
116789,1
116791,1
116795,1
116797,1
116799,1
116801,1
116803,1
116806,1
116807,1
116809,1
116810,1
116811,1
116814,1
116818,1
116820,1
116821,1
116824,1
116825,1
116830,1
116833,1
116842,1
116844,1
116845,1
116848,1
116852,1
116853,1
116855,1
116856,1
116859,1
116862,1
116863,1
116866,1
116867,1
116868,1
116869,1
116870,1
116871,1
116872,1
116873,1
116874,1
116875,1
116877,1
116878,1
116879,1
116881,1
116883,1
116884,1
116885,1
116887,1
116888,1
116889,1
116890,1
116891,1
116894,1
116896,1
116897,1
116899,1
116900,1
116902,1
116903,1
116904,1
116906,1
116907,1
116912,1
116913,1
116914,1
116919,1
116921,1
116922,1
116923,1
116928,1
116930,1
116932,1
116934,1
116936,1
116939,1
116942,1
116944,1
116946,1
116947,1
116948,1
116952,1
116953,1
116954,1
116955,1
116959,1
116961,1
116962,1
116963,1
116964,1
116966,1
116970,1
116972,1
116975,1
116977,1
116979,1
116980,1
116982,1
116983,1
116985,1
116986,1
116987,1
116988,1
116989,1
116990,1
116992,1
116993,1
116996,1
116997,1
116999,1
117000,1
117006,1
117008,1
117009,1
117011,1
117014,1
117015,1
117017,1
117019,1
117021,1
117022,1
117026,1
117027,1
117028,1
117029,1
117030,1
117032,1
117033,1
117035,1
117036,1
117037,1
117038,1
117040,1
117041,1
117044,1
117046,1
117050,1
117051,1
117052,1
117053,1
117055,1
117056,1
117058,1
117060,1
117061,1
117062,1
117063,1
117064,1
117066,1
117069,1
117070,1
117072,1
117073,1
117077,1
117080,1
117081,1
117085,1
117086,1
117088,1
117091,1
117092,1
117094,1
117095,1
117097,1
117098,1
117099,1
117103,1
117104,1
117105,1
117106,1
117107,1
117109,1
117113,1
117114,1
117118,1
117120,1
117121,1
117122,1
117126,1
117128,1
117129,1
117131,1
117134,1
117137,1
117138,1
117143,1
117145,1
117146,1
117147,1
117150,1
117153,1
117154,1
117158,1
117159,1
117161,1
117164,1
117166,1
117167,1
117168,1
117169,1
117170,1
117171,1
117173,1
117175,1
117176,1
117177,1
117178,1
117179,1
117181,1
117182,1
117183,1
117185,1
117186,1
117189,1
117190,1
117194,1
117195,1
117196,1
117197,1
117199,1
117201,1
117203,1
117204,1
117207,1
117210,1
117211,1
117212,1
117214,1
117218,1
117221,1
117222,1
117224,1
117227,1
117229,1
117230,1
117231,1
117234,1
117235,1
117236,1
117237,1
117238,1
117240,1
117243,1
117249,1
117250,1
117254,1
117256,1
117257,1
117259,1
117260,1
117262,1
117264,1
117265,1
117266,1
117267,1
117269,1
117270,1
117271,1
117272,1
117274,1
117276,1
117278,1
117279,1
117280,1
117281,1
117282,1
117284,1
117285,1
117286,1
117288,1
117289,1
117290,1
117291,1
117292,1
117295,1
117298,1
117302,1
117303,1
117304,1
117307,1
117317,1
117318,1
117323,1
117325,1
117326,1
117331,1
117333,1
117334,1
117336,1
117338,1
117339,1
117342,1
117344,1
117345,1
117346,1
117348,1
117350,1
117351,1
117353,1
117355,1
117356,1
117357,1
117360,1
117361,1
117363,1
117364,1
117366,1
117368,1
117369,1
117372,1
117373,1
117376,1
117378,1
117379,1
117382,1
117383,1
117385,1
117387,1
117388,1
117389,1
117390,1
117393,1
117394,1
117396,1
117397,1
117398,1
117399,1
117401,1
117402,1
117403,1
117404,1
117405,1
117407,1
117408,1
117409,1
117410,1
117414,1
117415,1
117416,1
117417,1
